objectIndex,regionIndex,categoryIndex,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2
38,2,43,-1.43314,-16.0252,6.87936,-1,2.22045e-16,0,0,0,1,2.12157,1.607,1.45322
40,2,0,-1.58542,-17.3799,4.75718,1,0,0,-0,0,1,1.95856,1.32298,0.0768566
41,2,5,-3.66949,-15.5944,4.29656,0,1,0,0,0,1,0.95947,0.830087,0.148243
42,2,54,-2.72711,-15.9977,3.87242,0,1,0,1,-0,0,0.949442,0.519039,0.405654
43,2,40,-3.22852,-14.8405,3.76456,0,0,1,-0.707107,0.707107,0,0.312875,0.280475,0.24735
44,2,3,-1.62164,-16.0076,3.48294,1,0,0,0,1,0,1.98809,1.43854,0.0497093
45,2,137,-1.64479,-17.3937,4.46661,0,0,1,-1,2.22045e-16,0,1.01093,0.540268,0.0625172
46,2,39,-1.64892,-16.0138,4.36618,1,0,0,0,1,0,2.0142,1.44139,0.92333
47,2,0,-3.60415,-16.014,4.55985,0,1,0,0,0,1,1.43231,1.0934,0.148686
48,2,56,-0.927276,-15.4201,3.93751,2.22045e-16,1,0,-0,0,1,0.740416,0.485086,0.134787
49,2,288,-0.144312,-17.3846,4.66893,0,0,1,1,0,0,0.214282,0.128036,0.0486813
50,2,288,-0.571039,-17.3791,4.66084,0,0,1,-0.92388,0.382683,0,0.200412,0.115488,0.0458704
51,2,50,-1.39486,-14.7976,3.57394,0,0,1,0,1,-0,0.130137,0.122874,0.0940076
226,2,11,-2.68644,-15.9481,2.99278,0.382683,0.92388,0,-0,0,1,0.0843947,0.0709515,0.059483
